Structured comment name,Item (rdfs:label),Definition,Expected value,Value syntax,Example,Section,minas,Preferred unit,Occurence,MIXS ID,Modification Suggestion,Requires Further Discussion,Reason for further discussion
lib_type,library type,"The type of library created. Amplicon based or non-amplicon based. Amplicon based, is a library that result in rather short DNA fragments while non-amplicon-based referres to non targeted approach.",enumeration,[shotgun|amplicon],shotgun,sequencing,M,NA,1,MIXS:XXXXXXX,None,Y,"[JAFY] I'm not sure about the definition of amplicon here, it could be confusing - 'natural' aDNA is normally short, maybe need to rather change the definition to specify using primers targeting specific regions of the genome instead"
neg_cont_status,negative control status,Specify whether the sample is a negative control or not.,negative control status,{boolean},NA,investigation,X,NA,1,MIXS:XXXXXXX,None,Y,[JAFY] Wouldn't this be mandatory if it's boolean? A sample is either a negative control or not ... Would this also potentially not apply to all other tables? [AFG/BM] The problem with negative controls is that they come from diff batches so becomes hard to control. (M). Issue: in paleometagenome less negative controls are used as there is a more reliance on damage patterns and this is not the case for sedaDNA where negative controls should be mandatory.
num_capture_reamp_cycles,NA,Number of amplification cycles after capture enrichment,number of amplification cycles,{integer},10,sequencing,X,NA,1,MIXS:XXXXXXX,Condition: if performed,N,NA
num_reamp_cycles,number of reamplification cycles,Number of amplification cycles after library indexing PCR,number of amplification cycles,{integer},8,sequencing,X,NA,1,MIXS:XXXXXXX,Condition: if performed,N,NA
preservational_treatment,preservation treatment,"Description of any treatment applied to samples for the purpose of maximising collection preservation that may influence downstream DNA recovery or library construction, such as storage fluid or reconstructive glue",text,{text},stored in formalin,nucleic acid sequence source,X,NA,1,MIXS:XXXXXXX,Condition: if present,N,NA
sample_alt_lab_ids,alternative sample IDs,Any alternate sample IDs used in by the research group publishing the paper or other groups. If known.,text,{text},ABC_24,investigation,X,NA,1,MIXS:XXXXXXX,None,N,NA
samp_decontam_pretreat,sample decontamination pretreatment,"Method(s) employed for surface decontamination of samples of external modern DNA; Treatment used on the samples. Depends on the sample type. More relevant for bones than environmental samples. E.g. buffers, EDTA, etc.","PMID, DOI or URL",{PMID}|{DOI}|{URL}|{text},"EDTA wash, 10.17504/protocols.io.bidyka7w",sequencing,X,NA,m,MIXS:XXXXXXX,None,N,NA
prev_pubs,previous publications,Any publications that report data from the same body/skeleton/individual,text,{DOI}{URL}{PMID},10.1126/science.7761839,investigation,X,NA,m,MIXS:XXXXXXX,None,Y,"[AG/PH] Just DNA data, or also contextual/archaeolgoical publications?"
collection_context_name,context name where location was collected,Name of where sample originated and is typically stored. Typically will be 'owning institution',text,{text},Natural History London,environment,X,NA,1,MIXS:XXXXXXX,None,Y,"[AG/PH] e.g. Museum, community, field (want to avoid assumption that insitutuions instead of communities control samples)"
ethical_authority,ethical authority,Name of the authority or institution that awarded sampling and analysis (e.g. human remains) and/or export permission (e.g. animal remains),text,{text},Federal Foreign Office (Germany),investigation,X,NA,m,MIXS:XXXXXXX,None,Y,[JAFY] What is the condition on?
ethical_date,date of ethical approval date,Date of award of ethical/export permission. The date can be right truncated i.e. all of these are valid times: 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant,date,{timestamp},2018-05-11T10:00:00+01:00; 2018-05-11,investigation,X,NA,m,MIXS:XXXXXXX,None,Y,[JAFY] What is the condition on?
ethical_id,ethical permit/approval ID,The permissions code or ID provided by the authority associated with approval of the analysis of this particular sample,text,{text},DE-123-JK,investigation,X,NA,m,MIXS:XXXXXXX,None,Y,[JAFY] What is the condition on?
storage_conditions,conditions of sample storage,"General conditions in which the sample was stored in long-term collection storage, that may influenced DNA recovery or library construction. For example, specify temperature, humidity, presence of microbial overgrowth etc..",text,{text},Climate-controlled,environment,X,NA,1,MIXS:XXXXXXX,None,N,NA
